team_id,school name,full school name,nickname,conference,place,reg
20246,Mercer,Mercer University,Bears,Southern Conference,"Macon,Georgia",GA
20301,Merrimack,Merrimack College,Warriors,Northeast Conference,"North Andover,Massachusetts",MA
20182,Miami,University of Miami,Hurricanes,Atlantic Coast Conference,"Miami,Florida",FL
20251,Miami-Ohio,Miami University,Redhawks,Mid-American Conference,"Oxford,Ohio",OH
20183,Michigan,University of Michigan,Wolverines,Big Ten Conference,"Ann Arbor,Michigan",MI
20145,Michigan State,Michigan State University,Spartans,Big Ten Conference,"East Lansing,Michigan",MI
20204,Middle Tennessee,Middle Tennessee State University,Blue Raiders,Conference USA,"Murfreesboro,Tennessee",TN
20011,Minnesota,University of Minnesota,Golden Gophers,Big Ten Conference,"Minneapolis,Minnesota",MN
20147,Mississippi State,Mississippi State University,Bulldogs,Southeastern Conference,"Starkville,Mississippi",MS
20408,Mississippi Valley State,Mississippi Valley State University,Delta Devils,Southwest Athletic Conference,"Itta Bena,Mississippi",MS
20458,Missouri,University of Missouri,Tigers,Southeastern Conference,"Columbia,Missouri",MO
20219,Missouri State,Missouri State University,Bears,Missouri Valley Conference,"Springfield,Missouri",MO
22104,Monmouth,Monmouth University,Hawks,Metro Atlantic Athletic Conference,"West Long Branch,New Jersey",NJ
20588,Morehead State,Morehead State University,Eagles,Ohio Valley Conference,"Morehead,Kentucky",KY
21052,Mount St. Mary's,Mount Saint Mary College,Mountaineers,Northeast Conference,"Emmitsburg,MD",MD
20248,Murray State,Murray State University,Racers,Ohio Valley Conference,"Murray,Kentucky",KY
20410,Navy,Navy,Midshipmen,Patriot League,"Annapolis,Maryland",MD
20066,Nebraska,University of Nebraska,Cornhuskers,Big Ten Conference,"Lincoln,Nebraska",NE
20460,Nebraska-Omaha,University of Nebraska-Omaha,Mavericks,Summit League,"Omaha,Nebraska",NE
20255,Nevada,University of Nevada,Wolf Pack,Mountain West Conference,"Reno,Nevada",NV
22122,New Jersey Tech,New Jersey Institute of Technology,Highlanders,America East Conference,"Newark,New Jersey",NJ
20266,New Mexico,University of New Mexico,Lobos,Mountain West Conference,"Albuquerque,New Mexico",NM
20491,New Mexico State,New Mexico State University,Aggies,Western Athletic Conference,"Las Cruces,New Mexico",NM
20498,New Orleans,University of New Orleans,Privateers,Southland Conference,"New Orleans,Louisiana",LA
